,Dublin Core:Title,Item Type Metadata:Numéro de la pièce,Item Type Metadata:Titre de la pièce,Item Type Metadata:Incipit non modernisé,Item Type Metadata:Foliotation
13,[1550_Tradlatfr_Grou] 139 L’anneau qu’amour pour moy d’elle impetra,n° 139,D’un anneau de Cristal receu de sa Maistresse.,L’anneau qu’amour pour moy d’ellɇ impetra,H6v
12,[1550_Tradlatfr_Grou] 140 Comme un cheval se polit a l’estrille,n° 140,"Rondeau de l’Amant jouïssant, par P. R.",Commɇ un cheval se polit a l’estrille,"H6v, H7r"
11,[1550_Tradlatfr_Grou] 141 En avoir tant et d’un seul estre prise,n° 141,De Marguerite.,En avoir tant &amp; d’un seul estre prise,H7r
10,[1550_Tradlatfr_Grou] 142 Souz un espoir de parvenir,n° 142,"D’un Amant desesperé, par A. Vig.",Souz un espoir de parvenir,H7v
9,[1550_Tradlatfr_Grou] 143 Un jour j’escriviz une lettre,n° 143,"D’une qui ne vouloit qu’on appellast son Mary Maistre, par I. L. C.",Un jour j’escriviz une lettre,H7v
8,[1550_Tradlatfr_Grou] 144 Le tiers des troys O piteuse nouvelle,n° 144,Elegie sur le trespas de feu monsieur Charles de Valoys duc d’Orleans.,Le tiers des troys O piteuse nouvelle,H8r
7,[1550_Tradlatfr_Grou] 145 Si de toy je n’ay allegeance,n° 145,"Requeste d’un baiser, par le mesmes.",Si de toy je n’ay allegeance,H8v
6,"[1550_Tradlatfr_Grou] 146 Ne sois sujet au vin, ny a la femme",n° 146,"Translation d’un Epigramme latin commançant, Nec Veneris, nec tu vini capiaris amore : / Uno namque modo vina Venusque nocent. &c., par M. T.","Ne sois sujet au vin, ny a la femme","H8v, I1r"
5,[1550_Tradlatfr_Grou] 147 Jan se voyant trop pauvre et malheureux,n° 147,D’un lequel se voulant pendre trouva un tresor. par N.B.,Jan se voyant trop pauvrɇ &amp; malheureux,"I1r, I1v"
4,"[1550_Tradlatfr_Grou] 148 Jupiter, quel presage",n° 148,La Complainte que fit Piramus pensant s’Amye Tisbé avoir esté devoré par une Lionne. n. B.,"Jupiter, quel presage","I1v, I2r, I2v, I3r, I3v"
3,"[1550_Tradlatfr_Grou] 149 N’est-il possible, amour, qu’elle cognoisse",n° 149,"D’un Amant qui n’ose descouvrir son affection à sa Dame, par C. C. C.","N’est-il possiblɇ, amour, qu’elle cognoisse","I3v, I4r"
2,[1550_Tradlatfr_Grou] 150 A vostre avis qui est plus malheureux,n° 150,"D’un Amoureux &amp; d’un Jaloux, par N. B.",A vostrɇ avis qui est plus malheureux,I4r
