,Dublin Core:Title,Item Type Metadata:Numéro de la pièce,Item Type Metadata:Titre de la pièce,Item Type Metadata:Incipit non modernisé,Item Type Metadata:Foliotation
29,[1554_Tradlatfr_Grou] Comme un cheval se pollit a l'estrille,n° 141,"Rondeau de l'Amant jouissant, par P. R.",Commɇ un cheval se pollit a l'estrille,H4v
28,[1554_Tradlatfr_Grou] En avoir tant et d'un seul estre prise,n° 142,De Marguerite.,En avoir tant & d'un seul estre prise,"H4v, H5r"
27,[1554_Tradlatfr_Grou] Souz un espoir de parvenir,n° 143,"D'un Amant desesperé, par A. Vig.",Souz un espoir de parvenir,H5r
26,[1554_Tradlatfr_Grou] Un jour j'escriviz une lettre,n° 144,D'une qui ne vouloit qu'on appellast son Mary Maistre par I. L. C.,Un jour j'escriviz une lettre,"H5r, H5v"
25,"[1554_Tradlatfr_Grou] Le tiers des troys, o piteuse nouvelle",n° 145,Elegie sur le trespas de feu monsieur Charles de Valoys duc d'Orleans. ,"Le tiers des troys, o piteuse nouvelle","H5v, H6r"
24,"[1554_Tradlatfr_Grou] Quelqu'un, voulant plaisanter un petit",n° 146,"Imitation d'un Epigramme de Thomas Morus, par Marc Antoine de Muret.","Quelqu'un, voulant plaisanter un petit",H6r
23,[1554_Tradlatfr_Grou] Si de toy je n'ay allegeance,n° 147,"Requeste d'un baiser, par L. I. C. [le mesmes.]",Si de toy je n'ay allegeance,"H6r, H6v"
22,[1554_Tradlatfr_Grou] On dit qu'Alix est arrogante,n° 148,D'Alix par M. A. D. M.,On dit qu'Alix est arrogante,H6v
21,"[1554_Tradlatfr_Grou] Ne sois sujet au vin, ny à la femme",n° 149,"Translation d'un Epigramme latin commençant. Nec Veneris, nec tu vini capiaris amore : / Uno namque modo vina Venusque nocent. &c, par M. T.","Ne sois sujet au vin, ny à la femme","H6v, H7r"
20,[1554_Tradlatfr_Grou] Jan se voyant trop pauvre et malheureux,n° 150,D'un lequel se voulant pendre trouva un tresor par N. B.,Jan se voyant trop pauvrɇ & malheureux,"H7r, H7v"
19,[1554_Tradlatfr_Grou] N’eust Alix qu’un petit denier,n° 151,Imitation d’un Epigramme Martial qui se commence en latin. Unus saepe tibi denarius arca. || Par Marc Antoine de Muret. ,N’eust Alix qu’un petit denier,H7v
18,"[1554_Tradlatfr_Grou] Jupiter, quel presage",n° 152,La Complainte que fit Piramus pensant s'Amye Tisbé avoir esté devorée par une Lionne. N. B.,"Jupiter, quel presage","H7v, H8r, H8v, I1r, I1v, I2r"
17,[1554_Tradlatfr_Grou] Làs mon Dieu,n° 153,Complainte au nom d'une Dame sur le trespas de feu Monseigneur d'Orleans.,Làs mon Dieu,"I2r, I2v, I3r, I3v, I4r, I4v, I5r, I5v, I6r, I6v, I7r"
16,"[1554_Tradlatfr_Grou] N'est-il possible, Amour, qu'elle cognoisse",n° 154,"D'un Amant qui n'ose descouvrir son affection à sa Dame, par C. C. C.","N'est-il possible, Amour, qu'elle cognoisse",I7r
15,[1554_Tradlatfr_Grou] O cueur ingrat et de nulle amitié,n° 155,"Chanson sur le chant des Boufons, par D. L.",O cueur ingrat & de nulle amitié,"I7r, I7v, I8r"
14,[1554_Tradlatfr_Grou] Je ne suis moins aymable,n° 156,"Autre Chanson, par C. D. R.",Je ne suis moins aymable,"I8r, I8v, K1r"
13,[1554_Tradlatfr_Grou] Puis que vivre en servitute,n° 157,Autre Chanson.,Puis que vivre en servitute,"K1v, K2r, K2v"
12,[1554_Tradlatfr_Grou] De me tourmenter et plaindre,n° 158,Responce.,De me tourmenter & plaindre,"K2v, K3r, K3v"
11,[1554_Tradlatfr_Grou] Vostre amour est trop ardente,n° 159,Autre Chanson.,Vostrɇ amour est trop ardente,"K3v, K4r, K4v, K5r, K5v"
10,[1554_Tradlatfr_Grou] Je sens le bien de me voir amoureux,n° 160,Dixain de N. I.,Je sens le bien de me voir amoureux,K5v
9,[1554_Tradlatfr_Grou] 161 Le Ciel avoit produit Bonaventure,n° 161,"Epitaphe de Bonaventure, par O. B.",Le Ciel avoit produit Bonaventure,K5v
8,[1554_Tradlatfr_Grou] 162 Maintenant c'est un cas estrange,n° 162,"Autre Chanson, par C. C.",Maintenant c'est un cas estrange,"K6r, K6v"
7,[1554_Tradlatfr_Grou] 163 Un Cordelier gageoit à son hostesse,n° 163,D'un Cordelier & de son Hostesse.,Un Cordelier gageoit à son hostesse,K6v
6,[1554_Tradlatfr_Grou] 164 De hault descend le don du bien parfait,n° 164,"A monsieur le Dauphin, pour la nativité de monsieur le duc son filz. In lumine tuo videbimus lumen. Dixain.",De hault descend le don du bien parfait,"K6v, K7r"
5,[1554_Tradlatfr_Grou] 165 Le frere ayant maladie ennuyeuse,n° 165,"De l'amytié du Roy, de la Royne de Navarre, sa sœur.",Le frerɇ ayant maladie ennuyeuse,"K7r, K7v"
4,[1554_Tradlatfr_Grou] 166 Par les effectz de Nature & d'Amour,n° 166,Dixain du suject mesmes.,Par les effectz de Naturɇ & d'Amour,K7v
3,[1554_Tradlatfr_Grou] 167 A vostre avis qui est plus malheureux,n° 167,"D'un Amoureux &amp; d'un Jaloux, par N. B.",A vostrɇ avis qui est plus malheureux,K7v
2,[1554_Tradlatfr_Grou] 168 Un jour Tassin au gosier sec,n° 168,Dixain des Trousseaux de Robin.,Un jour Tassin au gosier sec,K8r
